state,city
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#ca,http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#san_diego
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#co,http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#arvada
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#co,http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#denver
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#de,http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#baltimore
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#de,http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#findlay
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#de,http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#mount_vernon
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#de,http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#newark
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#de,http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#wilmington
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#ks,http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#wichita
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#ma,http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#danvers
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#md,http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#westminster
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#ny,http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#white_plains
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#pa,http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#erie
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#pa,http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#philadelphia
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#tx,http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#austin
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#wa,http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#seattle
